Name,Gender,Age,Gender_bin,Age_Group
train_pfstar/020m12bh_digits10.wav,m,12,1,11-14
train_pfstar/020m12bh_digits5.wav,m,12,1,11-14
train_pfstar/020m12bh_list_ph20.wav,m,12,1,11-14
train_pfstar/020m12bh_list_ph25.wav,m,12,1,11-14
train_pfstar/020m12bh_list_ph30.wav,m,12,1,11-14
train_pfstar/020m12bh_sentences5or10.wav,m,12,1,11-14
train_pfstar/020m12bh_w_list5a.wav,m,12,1,11-14
train_pfstar/022m11bh_digits7.wav,m,11,1,11-14
train_pfstar/022m11bh_list_ph32.wav,m,11,1,11-14
train_pfstar/022m11bh_sentences2or7a.wav,m,11,1,11-14
train_pfstar/022m11bh_sentences2or7b.wav,m,11,1,11-14
train_pfstar/022m11bh_w_list2.wav,m,11,1,11-14
train_pfstar/032m11nl_list_ph32.wav,m,11,1,11-14
train_pfstar/032m11nl_list_ph37.wav,m,11,1,11-14
train_pfstar/032m11nl_sentences2or7a.wav,m,11,1,11-14
train_pfstar/032m11nl_sentences2or7b.wav,m,11,1,11-14
train_pfstar/032m11nl_w_list2.wav,m,11,1,11-14
train_pfstar/034m11nl_digits4.wav,m,11,1,11-14
train_pfstar/034m11nl_digits9.wav,m,11,1,11-14
train_pfstar/034m11nl_list_4.wav,m,11,1,11-14
train_pfstar/034m11nl_list_ph04.wav,m,11,1,11-14
train_pfstar/034m11nl_list_ph34.wav,m,11,1,11-14
train_pfstar/034m11nl_sentences4or9a.wav,m,11,1,11-14
train_pfstar/034m11nl_sentences4or9b.wav,m,11,1,11-14
train_pfstar/034m11nl_w_list4.wav,m,11,1,11-14
train_pfstar/038m11nl_digits3.wav,m,11,1,11-14
train_pfstar/038m11nl_list_3.wav,m,11,1,11-14
train_pfstar/038m11nl_list_ph03.wav,m,11,1,11-14
train_pfstar/038m11nl_list_ph08.wav,m,11,1,11-14
train_pfstar/038m11nl_list_ph38.wav,m,11,1,11-14
train_pfstar/038m11nl_sentences3or8a.wav,m,11,1,11-14
train_pfstar/038m11nl_sentences3or8b.wav,m,11,1,11-14
train_pfstar/038m11nl_w_list3.wav,m,11,1,11-14
train_pfstar/039f11nl_digits4.wav,f,11,0,11-14
train_pfstar/039f11nl_list_4.wav,f,11,0,11-14
train_pfstar/039f11nl_list_ph04.wav,f,11,0,11-14
train_pfstar/039f11nl_list_ph09.wav,f,11,0,11-14
train_pfstar/039f11nl_sentences4or9a.wav,f,11,0,11-14
train_pfstar/039f11nl_sentences4or9b.wav,f,11,0,11-14
train_pfstar/039f11nl_w_list4.wav,f,11,0,11-14
